ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
28,Local Incongruent at 6,4,267,Local,Incongruent at 6,Congruent Stimuli with Target
29,Local Incongruent at 2,7,267,Local,Incongruent at 2,Congruent Stimuli with Target
29,Global Congruent,7,267,Global,Congruent,Congruent Stimuli with Target
29,Local Congruent,5,267,Local,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 6,3,267,Global,Incongruent at 6,Congruent Stimuli with Target
32,Global Incongruent at 2,1,267,Global,Incongruent at 2,Congruent Stimuli with Target
32,Local Congruent,5,267,Local,Congruent,Congruent Stimuli with Target
34,Local Congruent,3,267,Local,Congruent,Congruent Stimuli with Target
34,Local Incongruent at 6,1,267,Local,Incongruent at 6,Congruent Stimuli with Target
34,Global Congruent,1,267,Global,Congruent,Congruent Stimuli with Target
35,Global Congruent,4,267,Global,Congruent,Congruent Stimuli with Target
35,Global Incongruent at 6,4,267,Global,Incongruent at 6,Congruent Stimuli with Target
37,Global Incongruent at 6,7,267,Global,Incongruent at 6,Congruent Stimuli with Target
1,Global Congruent,6,268,Global,Congruent,Congruent Stimuli with Target
2,Global Incongruent at 6,4,268,Global,Incongruent at 6,Congruent Stimuli with Target
2,Local Incongruent at 2,1,268,Local,Incongruent at 2,Congruent Stimuli with Target
2,Local Congruent,7,268,Local,Congruent,Congruent Stimuli with Target
2,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
3,Global Incongruent at 6,6,268,Global,Incongruent at 6,Incongruent Stimuli with Target
3,Local Congruent,6,268,Local,Congruent,Congruent Stimuli with Target
4,Global Incongruent at 2,3,268,Global,Incongruent at 2,Congruent Stimuli with Target
5,Local Congruent,4,268,Local,Congruent,Congruent Stimuli with Target
6,Local Incongruent at 2,6,268,Local,Incongruent at 2,Congruent Stimuli with Target
6,Global Congruent,1,268,Global,Congruent,Congruent Stimuli with Target
6,Local Incongruent at 6,7,268,Local,Incongruent at 6,Congruent Stimuli with Target
6,Local Incongruent at 6,4,268,Local,Incongruent at 6,Congruent Stimuli with Target
6,Local Incongruent at 2,4,268,Local,Incongruent at 2,Congruent Stimuli with Target
6,Local Incongruent at 2,2,268,Local,Incongruent at 2,Incongruent Stimuli with Target
7,Local Incongruent at 6,3,268,Local,Incongruent at 6,Congruent Stimuli with Target
7,Global Incongruent at 6,6,268,Global,Incongruent at 6,Incongruent Stimuli with Target
7,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
7,Global Incongruent at 6,2,268,Global,Incongruent at 6,Congruent Stimuli with Target
7,Local Congruent,4,268,Local,Congruent,Congruent Stimuli with Target
8,Global Incongruent at 6,5,268,Global,Incongruent at 6,Congruent Stimuli with Target
9,Local Congruent,3,268,Local,Congruent,Congruent Stimuli with Target
10,Global Incongruent at 6,5,268,Global,Incongruent at 6,Congruent Stimuli with Target
10,Global Incongruent at 6,3,268,Global,Incongruent at 6,Congruent Stimuli with Target
10,Local Congruent,2,268,Local,Congruent,Congruent Stimuli with Target
10,Global Congruent,1,268,Global,Congruent,Congruent Stimuli with Target
12,Local Incongruent at 6,5,268,Local,Incongruent at 6,Congruent Stimuli with Target
13,Global Incongruent at 6,5,268,Global,Incongruent at 6,Congruent Stimuli with Target
13,Local Incongruent at 2,2,268,Local,Incongruent at 2,Incongruent Stimuli with Target
13,Local Incongruent at 2,1,268,Local,Incongruent at 2,Congruent Stimuli with Target
15,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
15,Local Congruent,4,268,Local,Congruent,Congruent Stimuli with Target
15,Local Congruent,6,268,Local,Congruent,Congruent Stimuli with Target
15,Local Incongruent at 6,3,268,Local,Incongruent at 6,Congruent Stimuli with Target
17,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
17,Local Incongruent at 6,3,268,Local,Incongruent at 6,Congruent Stimuli with Target
17,Global Incongruent at 2,1,268,Global,Incongruent at 2,Congruent Stimuli with Target
17,Local Incongruent at 6,6,268,Local,Incongruent at 6,Incongruent Stimuli with Target
18,Local Incongruent at 2,4,268,Local,Incongruent at 2,Congruent Stimuli with Target
18,Global Incongruent at 6,1,268,Global,Incongruent at 6,Congruent Stimuli with Target
18,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
18,Local Incongruent at 2,7,268,Local,Incongruent at 2,Congruent Stimuli with Target
21,Local Congruent,3,268,Local,Congruent,Congruent Stimuli with Target
21,Global Incongruent at 6,5,268,Global,Incongruent at 6,Congruent Stimuli with Target
21,Global Incongruent at 2,2,268,Global,Incongruent at 2,Incongruent Stimuli with Target
22,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
23,Global Incongruent at 6,4,268,Global,Incongruent at 6,Congruent Stimuli with Target
23,Local Incongruent at 2,5,268,Local,Incongruent at 2,Congruent Stimuli with Target
23,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
23,Local Incongruent at 6,3,268,Local,Incongruent at 6,Congruent Stimuli with Target
24,Global Congruent,6,268,Global,Congruent,Congruent Stimuli with Target
24,Local Congruent,3,268,Local,Congruent,Congruent Stimuli with Target
27,Local Incongruent at 6,3,268,Local,Incongruent at 6,Congruent Stimuli with Target
27,Global Congruent,7,268,Global,Congruent,Congruent Stimuli with Target
27,Local Incongruent at 2,5,268,Local,Incongruent at 2,Congruent Stimuli with Target
28,Global Incongruent at 6,4,268,Global,Incongruent at 6,Congruent Stimuli with Target
28,Global Incongruent at 6,1,268,Global,Incongruent at 6,Congruent Stimuli with Target
29,Local Incongruent at 6,6,268,Local,Incongruent at 6,Incongruent Stimuli with Target
30,Global Incongruent at 6,7,268,Global,Incongruent at 6,Congruent Stimuli with Target
32,Global Congruent,5,268,Global,Congruent,Congruent Stimuli with Target
34,Local Incongruent at 6,4,268,Local,Incongruent at 6,Congruent Stimuli with Target
34,Global Congruent,6,268,Global,Congruent,Congruent Stimuli with Target
34,Global Incongruent at 2,6,268,Global,Incongruent at 2,Congruent Stimuli with Target
