ID,Condition,RunPosition,Globality,StimuliType,RunType,Critdatpoint,RT_Mu,RT_Sigma,RT_n,RT_SE
6,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,232.4,85.043270719892,20,19.0162534358596
6,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,276.4,87.4139576955534,20,19.546355158954828
6,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,242.65,79.47477256138711,20,17.771099394359666
6,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,337.4736842105263,131.52370653276526,19,30.17360765559074
6,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,241.8,94.2798745058674,20,21.081620830526887
7,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,392.9,132.7022389054771,20,29.673122695906404
7,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,356.95,108.73118712049262,20,24.31303256756711
7,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,405.6,133.40930291873636,20,29.83122701571556
7,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,390.05,169.17990268848192,20,37.8297762838245
7,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,440.85,94.32266848151447,20,21.09118985438432
7,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,422.25,139.04178660047717,20,31.09068865516863
7,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,441.1578947368421,96.26829589912579,19,22.08546175216633
7,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,451.5,122.2471611983388,20,27.33529624958602
8,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,392.8,92.63601664011341,20,20.714043037209525
8,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,363.25,94.6516466339932,20,21.164751605589792
8,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,402.57894736842104,95.78234341433456,19,21.97397660624173
8,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,431.57894736842104,219.05461414133276,19,50.25457506096659
8,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,417.65,99.3861554480142,20,22.22341996041208
8,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,389.1,46.43376720493509,20,10.382905992163526
8,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,467.45,136.21363831554422,20,30.45829547361268
