Globality,RunPosition,N,Congruence_Effect,sd,se,ci
Global,2,30,28.078615984405456,45.422268511939116,8.292933692348557,16.960953807832276
Global,6,30,-4.041306042884993,49.1656376785854,8.97637627022905,18.358750826809054
Local,2,30,33.91582846003899,39.560907073883136,7.222800399910495,14.772285477104889
Local,6,30,24.491052631578953,40.45816169435619,7.386615931730106,15.107325858624089
