Globality,N,Congruence_Effect_difference,sd,se,ci
Global,30,32.11992202729045,63.659096206572485,11.622507660910431,23.770697184008444
Local,30,9.424775828460037,63.659096206572485,11.622507660910431,23.770697184008444
