ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
21,Local Congruent,6,14,Local,Congruent,Congruent Stimuli with Target
28,Global Congruent,2,14,Global,Congruent,Congruent Stimuli with Target
28,Global Congruent,2,14,Global,Congruent,Congruent Stimuli with Target
3,Global Congruent,2,15,Global,Congruent,Congruent Stimuli with Target
4,Local Incongruent at 6,6,15,Local,Incongruent at 6,Incongruent Stimuli with Target
9,Local Incongruent at 6,6,15,Local,Incongruent at 6,Incongruent Stimuli with Target
9,Local Congruent,6,15,Local,Congruent,Congruent Stimuli with Target
12,Global Incongruent at 6,6,15,Global,Incongruent at 6,Incongruent Stimuli with Target
18,Local Incongruent at 6,6,15,Local,Incongruent at 6,Incongruent Stimuli with Target
21,Global Incongruent at 6,6,15,Global,Incongruent at 6,Incongruent Stimuli with Target
21,Global Congruent,6,15,Global,Congruent,Congruent Stimuli with Target
22,Global Incongruent at 6,6,15,Global,Incongruent at 6,Incongruent Stimuli with Target
28,Global Incongruent at 6,6,15,Global,Incongruent at 6,Incongruent Stimuli with Target
28,Local Congruent,2,15,Local,Congruent,Congruent Stimuli with Target
28,Global Congruent,6,15,Global,Congruent,Congruent Stimuli with Target
32,Local Incongruent at 2,2,15,Local,Incongruent at 2,Incongruent Stimuli with Target
35,Local Congruent,6,15,Local,Congruent,Congruent Stimuli with Target
2,Global Congruent,2,16,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,6,16,Local,Incongruent at 6,Incongruent Stimuli with Target
12,Global Incongruent at 2,2,16,Global,Incongruent at 2,Incongruent Stimuli with Target
19,Global Congruent,2,16,Global,Congruent,Congruent Stimuli with Target
19,Global Incongruent at 6,6,16,Global,Incongruent at 6,Incongruent Stimuli with Target
23,Global Congruent,6,16,Global,Congruent,Congruent Stimuli with Target
23,Global Congruent,2,16,Global,Congruent,Congruent Stimuli with Target
23,Global Congruent,6,16,Global,Congruent,Congruent Stimuli with Target
24,Global Congruent,2,16,Global,Congruent,Congruent Stimuli with Target
34,Global Congruent,2,16,Global,Congruent,Congruent Stimuli with Target
34,Local Incongruent at 2,2,16,Local,Incongruent at 2,Incongruent Stimuli with Target
7,Global Congruent,2,17,Global,Congruent,Congruent Stimuli with Target
9,Global Congruent,6,17,Global,Congruent,Congruent Stimuli with Target
20,Global Congruent,6,17,Global,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 6,6,18,Global,Incongruent at 6,Incongruent Stimuli with Target
15,Global Incongruent at 6,6,18,Global,Incongruent at 6,Incongruent Stimuli with Target
21,Local Congruent,2,18,Local,Congruent,Congruent Stimuli with Target
24,Global Incongruent at 6,6,18,Global,Incongruent at 6,Incongruent Stimuli with Target
28,Global Congruent,2,18,Global,Congruent,Congruent Stimuli with Target
32,Local Incongruent at 6,6,18,Local,Incongruent at 6,Incongruent Stimuli with Target
3,Global Congruent,6,19,Global,Congruent,Congruent Stimuli with Target
9,Global Congruent,6,19,Global,Congruent,Congruent Stimuli with Target
13,Global Congruent,6,19,Global,Congruent,Congruent Stimuli with Target
19,Local Congruent,6,19,Local,Congruent,Congruent Stimuli with Target
19,Global Incongruent at 6,6,19,Global,Incongruent at 6,Incongruent Stimuli with Target
19,Local Congruent,6,19,Local,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 6,6,19,Local,Incongruent at 6,Incongruent Stimuli with Target
21,Global Congruent,6,19,Global,Congruent,Congruent Stimuli with Target
21,Local Congruent,6,19,Local,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 2,2,19,Global,Incongruent at 2,Incongruent Stimuli with Target
24,Global Incongruent at 2,2,19,Global,Incongruent at 2,Incongruent Stimuli with Target
24,Global Congruent,2,19,Global,Congruent,Congruent Stimuli with Target
28,Local Congruent,6,19,Local,Congruent,Congruent Stimuli with Target
28,Global Congruent,6,19,Global,Congruent,Congruent Stimuli with Target
28,Global Congruent,2,19,Global,Congruent,Congruent Stimuli with Target
30,Local Congruent,2,19,Local,Congruent,Congruent Stimuli with Target
1,Global Congruent,6,20,Global,Congruent,Congruent Stimuli with Target
3,Local Incongruent at 6,6,20,Local,Incongruent at 6,Incongruent Stimuli with Target
9,Local Congruent,6,20,Local,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,6,20,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Global Incongruent at 6,6,20,Global,Incongruent at 6,Incongruent Stimuli with Target
22,Global Incongruent at 6,6,20,Global,Incongruent at 6,Incongruent Stimuli with Target
22,Global Congruent,6,20,Global,Congruent,Congruent Stimuli with Target
28,Local Incongruent at 6,6,20,Local,Incongruent at 6,Incongruent Stimuli with Target
28,Global Congruent,2,20,Global,Congruent,Congruent Stimuli with Target
7,Global Congruent,6,21,Global,Congruent,Congruent Stimuli with Target
9,Global Congruent,2,21,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,6,21,Local,Incongruent at 6,Incongruent Stimuli with Target
15,Global Congruent,6,21,Global,Congruent,Congruent Stimuli with Target
20,Local Incongruent at 2,2,21,Local,Incongruent at 2,Incongruent Stimuli with Target
28,Global Incongruent at 6,6,21,Global,Incongruent at 6,Incongruent Stimuli with Target
30,Local Congruent,6,21,Local,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 2,2,21,Global,Incongruent at 2,Incongruent Stimuli with Target
