ID,Condition,RunPosition#,RT_Mu,RT_Sigma,RT_n
4,Global Congruent at 2,3,432,113.60828361199353,20
4,Global Congruent at 2,4,412,190.16336467142636,20
4,Global Congruent at 2,5,365.6,66.01467141556688,20
4,Global Congruent at 2,6,461.6,375.1735598359778,20
4,Global Congruent at 2,7,358.05,59.5389965087014,20
4,Global Congruent at 6,1,687.7,236.00961175788004,20
4,Global Congruent at 6,2,497.65,218.10795854105683,20
4,Global Congruent at 6,3,385.1,110.62782556605586,20
4,Global Congruent at 6,4,388.5,90.71561899370893,18
4,Global Congruent at 6,5,359.3888888888889,87.6518104164486,18
4,Global Congruent at 6,6,411.1578947368421,134.5788753267411,19
4,Global Congruent at 6,7,390.5,119.03051355805677,20
4,Global Incongruent,1,690.95,325.9813483524544,20
4,Global Incongruent,2,422.65,99.30986859320679,20
4,Global Incongruent,3,429.95,142.2375607362926,20
4,Global Incongruent,4,352.35,78.84179695674383,20
4,Global Incongruent,5,365.35,86.09436377419959,20
4,Global Incongruent,6,370,110.6673536228943,20
4,Global Incongruent,7,353.3,84.4543476803016,20
4,Local Congruent at 2,1,695.4,198.23149678037916,20
4,Local Congruent at 2,2,526.3,209.79792282349374,20
4,Local Congruent at 2,3,483.8,173.99261932319823,20
4,Local Congruent at 2,4,442.6,139.37658188859191,20
4,Local Congruent at 2,5,443.4,105.73322935328176,20
4,Local Congruent at 2,6,428,159.98651258942522,20
4,Local Congruent at 2,7,471.42105263157896,206.1739599328343,19
4,Local Congruent at 6,1,760,251.35742590095794,19
4,Local Congruent at 6,2,520.15,187.2457644802399,20
4,Local Congruent at 6,3,420.6,126.83657118305305,20
4,Local Congruent at 6,4,429.55,136.01179321932653,20
4,Local Congruent at 6,5,410.75,98.52751419086741,20
4,Local Congruent at 6,6,431.15,136.98646686904206,20
4,Local Congruent at 6,7,433.9,146.11167322507663,20
4,Local Incongruent,1,563.2105263157895,109.58891820869502,19
4,Local Incongruent,2,437.05,100.90353652974967,20
4,Local Incongruent,3,449.75,144.9859793584411,20
4,Local Incongruent,4,417.25,102.29260147141372,20
4,Local Incongruent,5,431.55,93.28421483210386,20
4,Local Incongruent,6,373.85,93.52864745486723,20
4,Local Incongruent,7,417.55,123.85368064989557,20
5,Global Congruent at 2,1,447,254.8271745495148,19
5,Global Congruent at 2,2,400.6,168.6860678114355,20
5,Global Congruent at 2,3,367.4736842105263,170.32073287413846,19
5,Global Congruent at 2,4,338.5263157894737,140.37068719843685,19
5,Global Congruent at 2,5,324.36842105263156,130.5110512674079,19
5,Global Congruent at 2,6,345.63157894736844,175.91576599368858,19
5,Global Congruent at 2,7,329.6,140.92715550203494,20
5,Global Congruent at 6,1,383.5,105.97144600514355,20
5,Global Congruent at 6,2,354.85,139.4882658713251,20
5,Global Congruent at 6,3,344.05263157894734,119.7346481387584,19
5,Global Congruent at 6,4,372.8888888888889,105.57511342718699,18
5,Global Congruent at 6,5,354.4736842105263,124.2382873625664,19
5,Global Congruent at 6,6,396.27777777777777,159.26589146143797,18
5,Global Congruent at 6,7,377.3333333333333,131.71493282620526,18
5,Global Incongruent,1,394.85,156.21788933207498,20
5,Global Incongruent,2,357.9,149.11525037613302,20
5,Global Incongruent,3,338.2631578947368,159.94993734334614,19
5,Global Incongruent,4,325.42105263157896,162.8930514135898,19
5,Global Incongruent,5,355.7368421052632,164.50526573985513,19
5,Global Incongruent,6,354.36842105263156,168.77210489832987,19
5,Global Incongruent,7,361.3333333333333,153.17579289630515,18
5,Local Congruent at 2,1,490.8,141.98465447104894,20
5,Local Congruent at 2,2,441.7894736842105,94.13735764967677,19
5,Local Congruent at 2,3,440.15,168.46810568050842,20
5,Local Congruent at 2,4,401.7894736842105,160.90942205248007,19
5,Local Congruent at 2,5,423.35,139.98957667964913,20
5,Local Congruent at 2,6,410.4736842105263,133.86783217497796,19
5,Local Congruent at 2,7,400.7368421052632,145.0125826361527,19
5,Local Congruent at 6,1,463.25,211.02827822480643,20
5,Local Congruent at 6,2,383,150.42676133692365,20
5,Local Congruent at 6,3,368.94736842105266,136.92352840757115,19
5,Local Congruent at 6,4,403.7894736842105,146.82399854828773,19
5,Local Congruent at 6,5,396.42105263157896,154.58701820926106,19
5,Local Congruent at 6,6,352.15,125.3812186892439,20
5,Local Congruent at 6,7,365.95,165.59954074434157,20
5,Local Incongruent,1,422.1578947368421,155.12978908639147,19
5,Local Incongruent,2,435.1,184.4884534969173,20
5,Local Incongruent,3,401.05,142.96465334222708,20
5,Local Incongruent,4,411.5263157894737,183.64046044771914,19
5,Local Incongruent,5,345.8421052631579,161.93491942337505,19
5,Local Incongruent,6,357.7,154.1701384151528,20
5,Local Incongruent,7,378.6666666666667,156.59013566708248,18
6,Global Congruent at 2,1,507.7,167.20915046731145,10
6,Global Congruent at 2,2,485.63157894736844,117.86065714615704,19
6,Global Congruent at 2,3,433,144.70199261470682,10
6,Global Congruent at 2,4,441.8181818181818,93.95192194076519,11
6,Global Congruent at 2,5,527.7272727272727,375.32095356083994,11
6,Global Congruent at 2,6,436.7,139.93018100308294,10
6,Global Congruent at 2,7,421.6,73.61189517402137,10
6,Global Congruent at 6,1,544.1818181818181,273.586848434576,11
6,Global Congruent at 6,2,513.2,333.71771171322496,10
6,Global Congruent at 6,3,421.2,106.05323610757424,10
6,Global Congruent at 6,4,354.9,56.898447547655756,10
6,Global Congruent at 6,5,364.2,37.23439270352076,10
6,Global Congruent at 6,6,525.5555555555555,196.00306786981443,18
6,Global Congruent at 6,7,412.3636363636364,83.68903479820129,11
6,Global Incongruent,1,455.9,119.30302222119569,10
6,Global Incongruent,2,395.1,29.508755762767542,10
6,Global Incongruent,3,411.5,61.83535486363049,10
6,Global Incongruent,4,453.9,99.87820360596979,10
6,Global Incongruent,5,478.72727272727275,198.84973769612617,11
6,Global Incongruent,6,405.9,48.42737976714321,10
6,Global Incongruent,7,422.3,178.42275016874328,10
6,Local Congruent at 2,1,639.3888888888889,157.78807040900998,18
6,Local Congruent at 2,2,435.15,62.45695359711022,20
6,Local Congruent at 2,3,543.3,156.02095001026387,20
6,Local Congruent at 2,4,503.5,114.45914003190005,20
6,Local Congruent at 2,5,478.35,111.88493854708153,20
6,Local Congruent at 2,6,443.6,99.51958283886168,20
6,Local Congruent at 2,7,508.35,202.20111796244638,20
6,Local Congruent at 6,1,728.5,297.9709452455496,20
6,Local Congruent at 6,2,510.2,96.06445204844725,20
6,Local Congruent at 6,3,499.8,89.60298397286836,20
6,Local Congruent at 6,4,500.25,144.4473588324972,20
6,Local Congruent at 6,5,479.65,137.33297031973825,20
6,Local Congruent at 6,6,421.95,88.21473501453264,20
6,Local Congruent at 6,7,524.7894736842105,94.29420799189478,19
6,Local Incongruent,1,764.8421052631579,318.38276460154316,19
6,Local Incongruent,2,553.4,237.5808781956379,20
6,Local Incongruent,3,532.6,99.82795726965257,20
6,Local Incongruent,4,478.15,135.3654993750351,20
6,Local Incongruent,5,481.5,193.65990265085037,20
6,Local Incongruent,6,475.15,116.48594900583278,20
6,Local Incongruent,7,475.2,89.6370459129483,20
7,Global Congruent at 2,1,558.35,344.78784857694126,20
7,Global Congruent at 2,2,335.89473684210526,105.12156705286087,19
7,Global Congruent at 2,3,357.3888888888889,135.61586706094832,18
7,Global Congruent at 2,4,350.25,88.81196872873433,20
7,Global Congruent at 2,5,383.3333333333333,152.31160011440943,18
7,Global Congruent at 2,6,358.42105263157896,106.29953265783841,19
7,Global Congruent at 2,7,366.05,86.00702235711246,20
7,Global Congruent at 6,1,643.4736842105264,376.89732884597106,19
7,Global Congruent at 6,2,352.10526315789474,91.60718963587114,19
7,Global Congruent at 6,3,368.7368421052632,107.36947740565087,19
7,Global Congruent at 6,4,377.95,141.62272899651754,20
7,Global Congruent at 6,5,332.6,90.29682048374508,20
7,Global Congruent at 6,6,392.95,88.20280160247925,20
7,Global Congruent at 6,7,365.5,77.39611033338072,20
7,Global Incongruent,1,490.85,263.1256003868635,20
7,Global Incongruent,2,369.36842105263156,97.71569334117319,19
7,Global Incongruent,3,347.57894736842104,80.19512023771472,19
7,Global Incongruent,4,366.42105263157896,83.61174544648729,19
7,Global Incongruent,5,391.89473684210526,107.78316439182787,19
7,Global Incongruent,6,329.35,97.43136585633796,20
7,Global Incongruent,7,358.7,147.65860339951323,20
7,Local Congruent at 2,1,587,189.60133614156484,19
7,Local Congruent at 2,2,431.8,180.51697689516192,20
7,Local Congruent at 2,3,412.95,174.9437428372182,20
7,Local Congruent at 2,4,394.55,89.7484642882833,20
7,Local Congruent at 2,5,413.85,133.29992892958188,20
7,Local Congruent at 2,6,369.45,88.5190880396337,20
7,Local Congruent at 2,7,404.5263157894737,77.19410485627387,19
7,Local Congruent at 6,1,658.1,287.3131246200691,20
7,Local Congruent at 6,2,426.2105263157895,114.51277412846346,19
7,Local Congruent at 6,3,417.05,95.07696328432256,20
7,Local Congruent at 6,4,399.75,66.98065313758028,20
7,Local Congruent at 6,5,380.25,101.54847170323715,20
7,Local Congruent at 6,6,383.7,79.90461418729868,20
7,Local Congruent at 6,7,377.95,85.9586650970288,20
7,Local Incongruent,1,530.05,135.97696205801304,20
7,Local Incongruent,2,408.5,81.88406438373708,20
7,Local Incongruent,3,388.2,117.58562389751742,20
7,Local Incongruent,4,397.55555555555554,104.2757781486033,18
7,Local Incongruent,5,391.3,75.81077551516358,20
7,Local Incongruent,6,391.5263157894737,137.67286847251455,19
7,Local Incongruent,7,424.9,135.89194623903057,20
8,Global Congruent at 2,1,353.85,87.03675871964128,20
8,Global Congruent at 2,2,300.4375,136.2155002193216,16
8,Global Congruent at 2,3,291.75,118.01332440382359,20
8,Global Congruent at 2,4,326.53333333333336,119.44745806460361,15
8,Global Congruent at 2,5,308,101.4889156509222,18
8,Global Congruent at 2,6,417.15,326.3097132286571,20
8,Global Congruent at 2,7,314.8421052631579,120.99231525546237,19
8,Global Congruent at 6,1,321.89473684210526,103.57761166114472,19
8,Global Congruent at 6,2,316.2,149.55780435037573,20
8,Global Congruent at 6,3,331.1578947368421,157.57300359512192,19
8,Global Congruent at 6,4,347.94444444444446,141.26173963592308,18
8,Global Congruent at 6,5,294.88235294117646,136.56174535395206,17
8,Global Congruent at 6,6,296.63157894736844,142.02903088465783,19
8,Global Congruent at 6,7,355.4736842105263,158.99104392003855,19
8,Global Incongruent,1,400.85,129.145073463915,20
8,Global Incongruent,2,310.45,126.86937957475874,20
8,Global Incongruent,3,310.55555555555554,114.71100374020344,18
8,Global Incongruent,4,335.3,114.34946436254084,20
8,Global Incongruent,5,431.8421052631579,381.72899973641785,19
8,Global Incongruent,6,353.45,135.3282461665942,20
8,Global Incongruent,7,340.3,136.27298454128564,20
8,Local Congruent at 2,1,464.57894736842104,116.80958664494855,19
8,Local Congruent at 2,2,371.95,101.21601443915566,20
8,Local Congruent at 2,3,342.2105263157895,167.1830596639399,19
8,Local Congruent at 2,4,354.42105263157896,168.44726038782508,19
8,Local Congruent at 2,5,359.7894736842105,178.60869051500651,19
8,Local Congruent at 2,6,379,163.69636526203018,17
8,Local Congruent at 2,7,379.1666666666667,158.58018940141366,18
8,Local Congruent at 6,1,513.0526315789474,282.1422954003904,19
8,Local Congruent at 6,2,383.2105263157895,182.14023258875392,19
8,Local Congruent at 6,3,349.1111111111111,149.05738685205574,18
8,Local Congruent at 6,4,327.35,166.0580985837883,20
8,Local Congruent at 6,5,347.5,124.8107901318365,16
8,Local Congruent at 6,6,334.77777777777777,126.68420931153531,18
8,Local Congruent at 6,7,337.05555555555554,144.76490971560517,18
8,Local Incongruent,1,461.7,182.46790633452576,20
8,Local Incongruent,2,426,335.91367938802375,18
8,Local Incongruent,3,314.3888888888889,131.58273572117764,18
8,Local Incongruent,4,317.875,138.0868687940071,16
8,Local Incongruent,5,291.2631578947368,121.66842103998299,19
8,Local Incongruent,6,340.10526315789474,183.48081787019532,19
8,Local Incongruent,7,343.6470588235294,124.06849981787812,17
9,Global Congruent at 2,1,506.05263157894734,258.90634807980933,19
9,Global Congruent at 2,2,366.75,83.31921810280721,20
9,Global Congruent at 2,3,358,109.41968134968529,19
9,Global Congruent at 2,4,373.85,92.82313402663323,20
9,Global Congruent at 2,5,398.36842105263156,166.66973681382785,19
9,Global Congruent at 2,6,353.3,80.17027930730019,20
9,Global Congruent at 2,7,392.1,244.047859844615,20
9,Global Congruent at 6,1,604.75,336.059968802562,20
9,Global Congruent at 6,2,375.9,118.28062082673516,20
9,Global Congruent at 6,3,380.65,131.72630117426297,20
9,Global Congruent at 6,4,445.2105263157895,176.07844809357258,19
9,Global Congruent at 6,5,416,180.310258925232,20
9,Global Congruent at 6,6,352.52941176470586,135.40638724182236,17
9,Global Congruent at 6,7,389.2631578947368,113.94435391661004,19
9,Global Incongruent,1,493.57894736842104,231.17076799761728,19
9,Global Incongruent,2,363.05,124.5199096319012,20
9,Global Incongruent,3,350.42105263157896,126.05920821823445,19
9,Global Incongruent,4,345.5,143.06329110976685,20
9,Global Incongruent,5,336.36842105263156,101.2725752754613,19
9,Global Incongruent,6,350,106.60154261964922,19
9,Global Incongruent,7,326.94736842105266,117.23929644781627,19
9,Local Congruent at 2,1,556.7,220.11865221428096,20
9,Local Congruent at 2,2,399.35,86.76906737214351,20
9,Local Congruent at 2,3,418.2,108.75980294595107,20
9,Local Congruent at 2,4,444.85,153.29925155171435,20
9,Local Congruent at 2,5,401.3,126.75342827295587,20
9,Local Congruent at 2,6,420.63157894736844,184.2830584021089,19
9,Local Congruent at 2,7,394.45,154.18631074467226,20
9,Local Congruent at 6,1,626.3888888888889,255.65881190480246,18
9,Local Congruent at 6,2,391.8421052631579,93.59977632801785,19
9,Local Congruent at 6,3,451.5263157894737,157.81929484242858,19
9,Local Congruent at 6,4,434.9,123.43031274878614,20
9,Local Congruent at 6,5,426.05,83.19696034427169,20
9,Local Congruent at 6,6,385.57894736842104,113.95872341894172,19
9,Local Congruent at 6,7,415.63157894736844,140.01833630965618,19
9,Local Incongruent,1,597.05,204.6394711630548,20
9,Local Incongruent,2,387.25,111.1697966365439,20
9,Local Incongruent,3,380,111.59183143091282,20
9,Local Incongruent,4,376.95,92.02772751502097,20
9,Local Incongruent,5,384.85,133.06281658635794,20
9,Local Incongruent,6,354.10526315789474,84.48595855514961,19
9,Local Incongruent,7,453.15,214.31955359376704,20
10,Global Congruent at 2,1,531.6842105263158,328.7195786738429,19
10,Global Congruent at 2,2,385.75,123.73735980101691,20
10,Global Congruent at 2,3,423.55,123.94543578781584,20
10,Global Congruent at 2,4,327.45,81.9110396775223,20
10,Global Congruent at 2,5,342.8,129.57403898523566,20
10,Global Congruent at 2,6,368.1,127.56253368446396,20
10,Global Congruent at 2,7,371.4,105.18424937123179,20
10,Global Congruent at 6,1,386.9,144.22201452512098,20
10,Global Congruent at 6,2,370.1,170.92685416190227,20
10,Global Congruent at 6,3,362.25,168.1602853795966,20
10,Global Congruent at 6,4,375.94736842105266,163.61114933626774,19
10,Global Congruent at 6,5,347.1,130.6779488505596,20
10,Global Congruent at 6,6,314.8,102.41124527069641,20
10,Global Congruent at 6,7,323.72222222222223,86.90346608910748,18
10,Global Incongruent,1,449.7,218.3939222211962,20
10,Global Incongruent,2,479.4,276.81276210311887,20
10,Global Incongruent,3,400.8,163.96745505065775,20
10,Global Incongruent,4,417.85,155.0318388352263,20
10,Global Incongruent,5,378.05,107.89247815350828,20
10,Global Incongruent,6,375.8,98.43544504956161,20
10,Global Incongruent,7,355.9,137.2684270057451,20
10,Local Congruent at 2,1,601.05,253.70589583008783,20
10,Local Congruent at 2,2,472.5,193.0954222794087,20
10,Local Congruent at 2,3,485.2631578947368,248.91449716837465,19
10,Local Congruent at 2,4,490.95,167.26231368406744,20
10,Local Congruent at 2,5,427.9,118.08645361054667,20
10,Local Congruent at 2,6,447.42105263157896,172.18507994128285,19
10,Local Congruent at 2,7,481.15,172.23187399855067,20
10,Local Congruent at 6,1,535.5263157894736,247.53975402864367,19
10,Local Congruent at 6,2,430.63157894736844,159.37837945046783,19
10,Local Congruent at 6,3,434.5,176.8914326567808,20
10,Local Congruent at 6,4,435.2,159.19322916043356,20
10,Local Congruent at 6,5,460.45,236.74135898197335,20
10,Local Congruent at 6,6,418.45,161.07842973631134,20
10,Local Congruent at 6,7,441.05263157894734,187.14981333567755,19
10,Local Incongruent,1,608.7894736842105,157.67885046207348,19
10,Local Incongruent,2,529.7368421052631,238.2731490689865,19
10,Local Incongruent,3,482.7894736842105,162.3571436841113,19
10,Local Incongruent,4,511.36842105263156,202.209245454723,19
10,Local Incongruent,5,585.7368421052631,305.28926940149063,19
10,Local Incongruent,6,430.5263157894737,118.56801537095005,19
10,Local Incongruent,7,466.25,140.15663230453052,20
11,Global Congruent at 2,1,482.8,224.81562036009583,20
11,Global Congruent at 2,2,354.42105263157896,111.8338627853705,19
11,Global Congruent at 2,3,327.9,81.2144011082297,20
11,Global Congruent at 2,4,311.35,85.85193802796705,20
11,Global Congruent at 2,5,323.05,134.3673186299015,20
11,Global Congruent at 2,6,340.15,88.74106330098526,20
11,Global Congruent at 2,7,332.95,86.67936985174002,20
11,Global Congruent at 6,1,510.7,238.8919817561243,20
11,Global Congruent at 6,2,362.5,89.77603712631374,20
11,Global Congruent at 6,3,298.9,87.470837245456,20
11,Global Congruent at 6,4,302.7,80.85210670041157,20
11,Global Congruent at 6,5,321.7,130.7380265223067,20
11,Global Congruent at 6,6,345.6,110.82532486565941,20
11,Global Congruent at 6,7,302.6,68.97627357134824,20
11,Global Incongruent,1,505.5,316.8311022744154,20
11,Global Incongruent,2,344.8421052631579,126.57420448008386,19
11,Global Incongruent,3,328.2,87.73980672539987,20
11,Global Incongruent,4,327.75,96.58640800095175,20
11,Global Incongruent,5,317.42105263157896,132.7605680202244,19
11,Global Incongruent,6,352.75,74.87524712198918,20
11,Global Incongruent,7,339.25,85.94666338705896,20
11,Local Congruent at 2,1,497.25,132.0776784997932,20
11,Local Congruent at 2,2,400.8,121.8197978897303,20
11,Local Congruent at 2,3,438.6,140.7406723094119,20
11,Local Congruent at 2,4,393.3,102.05112237965523,20
11,Local Congruent at 2,5,355.65,113.22882048963366,20
11,Local Congruent at 2,6,405.36842105263156,129.15804725060937,19
11,Local Congruent at 2,7,369.3,115.46204662366901,20
11,Local Congruent at 6,1,495.6842105263158,196.79234759048796,19
11,Local Congruent at 6,2,380.15,114.66531389450915,20
11,Local Congruent at 6,3,388.6,118.11608919328387,20
11,Local Congruent at 6,4,347.7,94.92883761284722,20
11,Local Congruent at 6,5,372.55,101.46686002932448,20
11,Local Congruent at 6,6,340.35,82.09062706930419,20
11,Local Congruent at 6,7,408.55,171.2405126069609,20
11,Local Incongruent,1,524,141.46898488435735,20
11,Local Incongruent,2,388,99.17820218915891,20
11,Local Incongruent,3,376.1,88.23348212793742,20
11,Local Incongruent,4,382.9,111.37603446267774,20
11,Local Incongruent,5,395.85,98.84718402399577,20
11,Local Incongruent,6,428.4,212.20010417180836,20
11,Local Incongruent,7,377.8,79.18771834597904,20
12,Global Congruent at 2,1,489.8235294117647,248.2411215164899,17
12,Global Congruent at 2,2,313.55,132.7218995930172,20
12,Global Congruent at 2,3,278.35,108.2401204924058,20
12,Global Congruent at 2,4,254.8125,78.56396014288825,16
12,Global Congruent at 2,5,210.27777777777777,77.18412329546076,18
12,Global Congruent at 2,6,247.47368421052633,95.12002267372677,19
12,Global Congruent at 2,7,259.375,95.83518838784288,16
12,Global Congruent at 6,1,609.7222222222222,294.41043890451255,18
12,Global Congruent at 6,2,411.2631578947368,131.4461622385814,19
12,Global Congruent at 6,3,398.05263157894734,267.0672977368585,19
12,Global Congruent at 6,4,321.5882352941176,169.11056251145632,17
12,Global Congruent at 6,5,304.875,117.47730277235117,16
12,Global Congruent at 6,6,278.3333333333333,105.0221265201935,18
12,Global Congruent at 6,7,462.5625,410.80473362251644,16
12,Global Incongruent,1,530.8947368421053,215.5710490603561,19
12,Global Incongruent,2,256.94736842105266,95.383130167068,19
12,Global Incongruent,3,245.4375,76.08851753057093,16
12,Global Incongruent,4,338.6111111111111,322.074916182535,18
